"emp_no","first_name","last_name","hire_date"
101,Callum,Phelps,"2002-01-01"
10003,Parto,Bamford,"2002-01-01"
10006,Anneke,Preusig,"2002-01-01"
10009,Sumant,Peac,"2002-01-01"
10010,Duangkaew,Piveteau,"2002-01-01"
10012,Patricio,Bridgland,"2002-01-01"
10018,Kazuhide,Peha,"2002-01-01"
10024,Suzette,Pettey,"2002-01-01"
10025,Prasadram,Heyers,"2002-01-01"
10036,Adamantios,Portugali,"2002-01-01"
10037,Pradeep,Makrucki,"2002-01-01"
10062,Anoosh,Peyn,"2002-01-01"
10080,Premal,Baek,"2002-01-01"
10082,Parviz,Lortz,"2002-01-01"
10101,Perla,Heyers,"2002-01-01"
10102,Paraskevi,Luby,"2002-01-01"
10105,Hironoby,Piveteau,"2002-01-01"
10109,Mariusz,Prampolini,"2002-01-01"
10119,Domenick,Peltason,"2002-01-01"
10129,Armond,Peir,"2002-01-01"
10136,Zissis,Pintelas,"2002-01-01"
10138,Perry,Shimshoni,"2002-01-01"
10149,Xiadong,Perry,"2002-01-01"
10150,Zhenbing,Perng,"2002-01-01"
10177,Pragnesh,Iisaka,"2002-01-01"
10198,Pranav,Furedi,"2002-01-01"
10226,Xinglin,Plessier,"2002-01-01"
10243,Wonhee,Pouyioutas,"2002-01-01"
10274,Dmitri,Pearson,"2002-01-01"
10285,Zhonghui,Preusig,"2002-01-01"
10287,Marie,Pietracaprina,"2002-01-01"
10288,Selwyn,Perri,"2002-01-01"
10289,Shay,Poulakidas,"2002-01-01"
10290,Yongmao,Pleszkun,"2002-01-01"
10296,Petter,Lorho,"2002-01-01"
10305,Hirochika,Piancastelli,"2002-01-01"
10309,Prodip,Schusler,"2002-01-01"
10347,Pradeep,Kaminger,"2002-01-01"
10348,Mahendra,Picco,"2002-01-01"
10353,Phule,Hammerschmidt,"2002-01-01"
10366,Morrie,Piazza,"2002-01-01"
10381,Jiong,Parfitt,"2002-01-01"
10387,Parto,Wrigley,"2002-01-01"
10389,Make,Peir,"2002-01-01"
10404,Prodip,Rosti,"2002-01-01"
10418,Candida,Porotnikoff,"2002-01-01"
10431,Patricio,Bugrara,"2002-01-01"
10434,Dzung,Peltason,"2002-01-01"
10441,Adel,Perfilyeva,"2002-01-01"
10448,Phule,Oxenboll,"2002-01-01"
10470,Peternela,Iwayama,"2002-01-01"
10473,Przemyslawa,Oskamp,"2002-01-01"
10481,Yongmao,Pintelas,"2002-01-01"
10482,Goa,Pleszkun,"2002-01-01"
10487,Perla,Middleton,"2002-01-01"
10497,Pramod,Rabehasaina,"2002-01-01"
10503,Dannz,Pell,"2002-01-01"
10538,Przemyslawa,Falby,"2002-01-01"
10555,Vitaly,Picci,"2002-01-01"
10562,Shuky,Pearson,"2002-01-01"
10568,Gao,Poulakidas,"2002-01-01"
10581,Odinaldo,Prochazka,"2002-01-01"
10583,Prasadram,Stille,"2002-01-01"
